DATE	TIME	Open	High	Low	Close	TICKVOL	VOL	SPREAD
2019.12.12	17:10:00	112405	112420	112335	112335	8335	43025	5
2019.12.12	17:15:00	112330	112370	112325	112365	7078	32854	5
2019.12.12	17:20:00	112365	112375	112340	112360	4465	23916	5
2019.12.12	17:25:00	112360	112405	112360	112385	5885	29611	5
2019.12.12	17:30:00	112385	112395	112340	112365	5490	27920	5
2019.12.12	17:35:00	112360	112430	112325	112395	9050	48977	5
2019.12.12	17:40:00	112395	112570	112375	112540	15875	92740	5
2019.12.12	17:45:00	112540	112595	112510	112555	10625	60590	5
2019.12.12	17:50:00	112555	112590	112525	112565	7456	42972	5
2019.12.12	17:55:00	112565	112570	112450	112465	10794	63342	5
2019.12.12	18:00:00	112465	112485	112390	112405	6649	34426	5
2019.12.12	18:05:00	112400	112430	112285	112285	4234	28037	5
2019.12.13	09:00:00	112500	112830	112500	112770	27746	135577	5
2019.12.13	09:05:00	112770	112815	112750	112785	9811	42712	5
2019.12.13	09:10:00	112790	112855	112780	112845	11164	46464	5
2019.12.13	09:15:00	112845	112935	112840	112920	19045	83621	5
2019.12.13	09:20:00	112920	112930	112850	112855	12250	54052	5
2019.12.13	09:25:00	112855	112900	112850	112870	6403	26222	5
2019.12.13	09:30:00	112870	112900	112850	112895	6424	28069	5
2019.12.13	09:35:00	112895	112895	112830	112845	8782	36946	5
2019.12.13	09:40:00	112845	112875	112825	112855	7361	34383	5
2019.12.13	09:45:00	112855	112855	112815	112840	5644	24050	5
2019.12.13	09:50:00	112845	112890	112805	112810	14094	55775	5
2019.12.13	09:55:00	112810	112835	112685	112760	31100	137888	5
2019.12.13	10:00:00	112760	112770	112650	112690	23552	115361	5
2019.12.13	10:05:00	112690	112855	112680	112815	26009	110105	5
2019.12.13	10:10:00	112815	112825	112705	112755	23444	96075	5
2019.12.13	10:15:00	112755	112780	112670	112765	16186	72937	5
2019.12.13	10:20:00	112765	112790	112600	112645	26750	111562	5
2019.12.13	10:25:00	112640	112735	112585	112700	22643	94992	5
2019.12.13	10:30:00	112700	112815	112640	112800	27274	114495	5
2019.12.13	10:35:00	112805	112925	112750	112820	33833	141986	5
2019.12.13	10:40:00	112820	112840	112780	112815	11611	51445	5
2019.12.13	10:45:00	112815	112815	112700	112730	18018	74554	5
2019.12.13	10:50:00	112725	112750	112690	112740	8826	43272	5
2019.12.13	10:55:00	112735	112780	112705	112745	13143	63298	5
2019.12.13	11:00:00	112745	112760	112660	112675	14220	63731	5
2019.12.13	11:05:00	112670	112690	112090	112270	78668	422387	5
2019.12.13	11:10:00	112275	112280	112020	112100	48441	259801	5
2019.12.13	11:15:00	112095	112100	111880	112010	41061	212304	5
2019.12.13	11:20:00	112010	112130	111920	111995	35844	163087	5
2019.12.13	11:25:00	111995	112195	111990	112180	25011	108038	5
2019.12.13	11:30:00	112180	112230	112005	112075	45340	210363	5
2019.12.13	11:35:00	112075	112250	112070	112230	28444	136076	5
